Datum/Uhrzeit;774 [°C];774 [m/s];
02.06.25 9:58:42;21,3;6,50;
02.06.25 9:58:43;21,3;6,52;
02.06.25 9:58:44;21,3;6,27;
02.06.25 9:58:45;21,3;6,22;
02.06.25 9:58:46;21,3;6,31;
02.06.25 9:58:47;21,3;6,24;
02.06.25 9:58:48;21,3;6,37;
02.06.25 9:58:49;21,3;6,24;
02.06.25 9:58:50;21,3;6,16;
02.06.25 9:58:51;21,3;6,57;
02.06.25 9:58:52;21,3;6,34;
02.06.25 9:58:53;21,3;6,39;
02.06.25 9:58:54;21,3;6,07;
02.06.25 9:58:55;21,3;6,20;
02.06.25 9:58:56;21,3;6,16;
02.06.25 9:58:57;21,3;6,50;
02.06.25 9:58:58;21,3;6,42;
02.06.25 9:58:59;21,3;6,29;
02.06.25 9:59:00;21,3;6,40;
02.06.25 9:59:01;21,3;6,25;
02.06.25 9:59:02;21,3;6,24;
02.06.25 9:59:03;21,3;6,19;
02.06.25 9:59:04;21,3;6,30;
02.06.25 9:59:05;21,3;6,29;
02.06.25 9:59:06;21,3;6,37;
02.06.25 9:59:07;21,3;6,20;
02.06.25 9:59:08;21,3;6,47;
02.06.25 9:59:09;21,3;6,18;
02.06.25 9:59:10;21,3;6,30;
02.06.25 9:59:11;21,3;6,38;
02.06.25 9:59:12;21,3;6,23;
02.06.25 9:59:13;21,3;6,17;
02.06.25 9:59:14;21,3;6,27;
02.06.25 9:59:15;21,3;6,15;
02.06.25 9:59:16;21,3;6,47;
02.06.25 9:59:17;21,3;6,29;
02.06.25 9:59:18;21,3;6,41;
02.06.25 9:59:19;21,3;6,27;
02.06.25 9:59:20;21,3;6,29;
02.06.25 9:59:21;21,3;6,26;
02.06.25 9:59:22;21,3;6,18;
02.06.25 9:59:23;21,3;6,47;
02.06.25 9:59:24;21,3;6,20;
02.06.25 9:59:25;21,2;6,33;
02.06.25 9:59:26;21,2;6,17;
02.06.25 9:59:27;21,2;6,19;
02.06.25 9:59:28;21,2;6,28;
02.06.25 9:59:29;21,2;6,05;
02.06.25 9:59:30;21,2;6,14;
02.06.25 9:59:31;21,2;6,30;
02.06.25 9:59:32;21,2;6,36;
02.06.25 9:59:33;21,2;6,35;
02.06.25 9:59:34;21,2;6,24;
02.06.25 9:59:35;21,2;6,12;
02.06.25 9:59:36;21,2;6,18;
02.06.25 9:59:37;21,2;6,31;
02.06.25 9:59:38;21,2;6,16;
02.06.25 9:59:39;21,2;6,02;
02.06.25 9:59:40;21,2;6,12;
02.06.25 9:59:41;21,2;6,45;
02.06.25 9:59:42;21,2;6,29;
02.06.25 9:59:43;21,2;6,09;
02.06.25 9:59:44;21,2;6,19;
02.06.25 9:59:45;21,2;6,19;
02.06.25 9:59:46;21,2;6,16;
02.06.25 9:59:47;21,2;6,07;
02.06.25 9:59:48;21,2;6,08;
02.06.25 9:59:49;21,2;6,22;
Durchschnitt gesamt;21,3;6,27;
Minimum gesamt;21,2;6,02;
Maximum gesamt;21,3;6,57;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;02.06.25 10:00:00;Messung 0;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;02.06.25 9:58:42;02.06.25 9:59:49;1 Min 7 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

