Datum/Uhrzeit;774 [°C];774 [m/s];
12.08.25 14:19:14;22,7;3,19;
12.08.25 14:19:15;22,7;3,18;
12.08.25 14:19:16;22,7;3,19;
12.08.25 14:19:17;22,7;3,18;
12.08.25 14:19:18;22,7;3,17;
12.08.25 14:19:19;22,7;3,18;
12.08.25 14:19:20;22,7;3,17;
12.08.25 14:19:21;22,7;3,17;
12.08.25 14:19:22;22,7;3,18;
12.08.25 14:19:23;22,7;3,19;
12.08.25 14:19:24;22,7;3,20;
12.08.25 14:19:25;22,7;3,19;
12.08.25 14:19:26;22,7;3,19;
12.08.25 14:19:27;22,7;3,20;
12.08.25 14:19:28;22,7;3,19;
12.08.25 14:19:29;22,7;3,17;
12.08.25 14:19:30;22,7;3,17;
12.08.25 14:19:31;22,7;3,17;
12.08.25 14:19:32;22,7;3,15;
12.08.25 14:19:33;22,7;3,15;
12.08.25 14:19:34;22,7;3,17;
12.08.25 14:19:35;22,7;3,16;
12.08.25 14:19:36;22,7;3,16;
12.08.25 14:19:37;22,7;3,17;
12.08.25 14:19:38;22,7;3,17;
12.08.25 14:19:39;22,7;3,17;
12.08.25 14:19:40;22,7;3,17;
12.08.25 14:19:41;22,7;3,18;
12.08.25 14:19:42;22,6;3,18;
12.08.25 14:19:43;22,6;3,16;
12.08.25 14:19:44;22,6;3,16;
12.08.25 14:19:45;22,6;3,16;
12.08.25 14:19:46;22,6;3,16;
12.08.25 14:19:47;22,6;3,17;
12.08.25 14:19:48;22,6;3,17;
12.08.25 14:19:49;22,6;3,20;
12.08.25 14:19:50;22,6;3,17;
12.08.25 14:19:51;22,6;3,18;
12.08.25 14:19:52;22,6;3,18;
12.08.25 14:19:53;22,6;3,17;
12.08.25 14:19:54;22,6;3,16;
12.08.25 14:19:55;22,6;3,17;
12.08.25 14:19:56;22,6;3,17;
12.08.25 14:19:57;22,6;3,18;
12.08.25 14:19:58;22,6;3,17;
12.08.25 14:19:59;22,6;3,16;
12.08.25 14:20:00;22,6;3,17;
12.08.25 14:20:01;22,6;3,17;
12.08.25 14:20:02;22,6;3,18;
12.08.25 14:20:03;22,6;3,16;
12.08.25 14:20:04;22,6;3,16;
12.08.25 14:20:05;22,6;3,15;
12.08.25 14:20:06;22,6;3,16;
12.08.25 14:20:07;22,6;3,16;
12.08.25 14:20:08;22,6;3,16;
12.08.25 14:20:09;22,6;3,15;
12.08.25 14:20:10;22,6;3,15;
12.08.25 14:20:11;22,6;3,14;
12.08.25 14:20:12;22,6;3,16;
12.08.25 14:20:13;22,6;3,15;
12.08.25 14:20:14;22,6;3,16;
Durchschnitt gesamt;22,6;3,17;
Minimum gesamt;22,6;3,14;
Maximum gesamt;22,7;3,20;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;12.08.25 14:20:16;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;12.08.25 14:19:14;12.08.25 14:20:14;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

