Datum/Uhrzeit;774 [°C];774 [m/s];
14.08.25 14:00:43;23,1;5,88;
14.08.25 14:00:44;23,0;5,90;
14.08.25 14:00:45;23,0;5,89;
14.08.25 14:00:46;23,0;5,88;
14.08.25 14:00:47;23,0;5,89;
14.08.25 14:00:48;23,0;5,89;
14.08.25 14:00:49;23,0;5,85;
14.08.25 14:00:50;23,0;5,87;
14.08.25 14:00:51;23,0;5,87;
14.08.25 14:00:52;23,0;5,86;
14.08.25 14:00:53;23,0;5,89;
14.08.25 14:00:54;23,0;5,86;
14.08.25 14:00:55;23,0;5,87;
14.08.25 14:00:56;23,0;5,86;
14.08.25 14:00:57;23,0;5,87;
14.08.25 14:00:58;23,0;5,86;
14.08.25 14:00:59;23,0;5,86;
14.08.25 14:01:00;23,0;5,84;
14.08.25 14:01:01;23,0;5,85;
14.08.25 14:01:02;23,0;5,86;
14.08.25 14:01:03;23,0;5,86;
14.08.25 14:01:04;22,9;5,85;
14.08.25 14:01:05;22,9;5,86;
14.08.25 14:01:06;22,9;5,86;
14.08.25 14:01:07;22,9;5,84;
14.08.25 14:01:08;22,9;5,85;
14.08.25 14:01:09;22,9;5,85;
14.08.25 14:01:10;22,9;5,84;
14.08.25 14:01:11;22,9;5,85;
14.08.25 14:01:12;22,9;5,83;
14.08.25 14:01:13;22,9;5,84;
14.08.25 14:01:14;22,9;5,84;
14.08.25 14:01:15;22,9;5,84;
14.08.25 14:01:16;22,9;5,84;
14.08.25 14:01:17;22,9;5,85;
14.08.25 14:01:18;22,9;5,83;
14.08.25 14:01:19;22,9;5,85;
14.08.25 14:01:20;22,9;5,83;
14.08.25 14:01:21;22,9;5,84;
14.08.25 14:01:22;22,9;5,83;
14.08.25 14:01:23;22,9;5,84;
14.08.25 14:01:24;22,9;5,82;
14.08.25 14:01:25;22,9;5,83;
14.08.25 14:01:26;22,9;5,83;
14.08.25 14:01:27;22,9;5,82;
14.08.25 14:01:28;22,9;5,82;
14.08.25 14:01:29;22,9;5,83;
14.08.25 14:01:30;22,9;5,82;
14.08.25 14:01:31;22,9;5,83;
14.08.25 14:01:32;22,9;5,83;
14.08.25 14:01:33;22,9;5,82;
14.08.25 14:01:34;22,9;5,83;
14.08.25 14:01:35;22,9;5,83;
14.08.25 14:01:36;22,9;5,82;
14.08.25 14:01:37;22,9;5,83;
14.08.25 14:01:38;22,9;5,82;
14.08.25 14:01:39;22,9;5,83;
14.08.25 14:01:40;22,9;5,82;
14.08.25 14:01:41;22,9;5,81;
14.08.25 14:01:42;22,9;5,82;
14.08.25 14:01:43;22,8;5,82;
Durchschnitt gesamt;22,9;5,85;
Minimum gesamt;22,8;5,81;
Maximum gesamt;23,1;5,90;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;14.08.25 14:01:45;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;14.08.25 14:00:43;14.08.25 14:01:43;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

