Datum/Uhrzeit;774 [°C];774 [m/s];
01.07.25 14:20:01;23,0;1,81;
01.07.25 14:20:02;23,0;1,80;
01.07.25 14:20:03;23,0;1,82;
01.07.25 14:20:04;23,0;1,81;
01.07.25 14:20:05;23,0;1,81;
01.07.25 14:20:06;23,0;1,83;
01.07.25 14:20:07;22,9;1,83;
01.07.25 14:20:08;22,9;1,82;
01.07.25 14:20:09;22,9;1,80;
01.07.25 14:20:10;22,9;1,79;
01.07.25 14:20:11;22,9;1,81;
01.07.25 14:20:12;22,9;1,80;
01.07.25 14:20:13;22,9;1,79;
01.07.25 14:20:14;22,9;1,78;
01.07.25 14:20:15;22,9;1,80;
01.07.25 14:20:16;22,9;1,79;
01.07.25 14:20:17;22,9;1,79;
01.07.25 14:20:18;22,9;1,80;
01.07.25 14:20:19;22,9;1,80;
01.07.25 14:20:20;22,9;1,80;
01.07.25 14:20:21;22,9;1,81;
01.07.25 14:20:22;22,9;1,82;
01.07.25 14:20:23;22,9;1,82;
01.07.25 14:20:24;22,9;1,81;
01.07.25 14:20:25;22,9;1,80;
01.07.25 14:20:26;22,8;1,81;
01.07.25 14:20:27;22,8;1,81;
01.07.25 14:20:28;22,8;1,82;
01.07.25 14:20:29;22,8;1,81;
01.07.25 14:20:30;22,8;1,82;
01.07.25 14:20:31;22,8;1,80;
01.07.25 14:20:32;22,8;1,82;
01.07.25 14:20:33;22,8;1,82;
01.07.25 14:20:34;22,8;1,82;
01.07.25 14:20:35;22,8;1,81;
01.07.25 14:20:36;22,8;1,80;
01.07.25 14:20:37;22,8;1,79;
01.07.25 14:20:38;22,8;1,79;
01.07.25 14:20:39;22,8;1,80;
01.07.25 14:20:40;22,8;1,81;
01.07.25 14:20:41;22,8;1,80;
01.07.25 14:20:42;22,8;1,80;
01.07.25 14:20:43;22,8;1,79;
01.07.25 14:20:44;22,8;1,80;
01.07.25 14:20:45;22,8;1,80;
01.07.25 14:20:46;22,8;1,79;
01.07.25 14:20:47;22,8;1,80;
01.07.25 14:20:48;22,8;1,77;
01.07.25 14:20:49;22,8;1,77;
01.07.25 14:20:50;22,8;1,78;
01.07.25 14:20:51;22,8;1,80;
01.07.25 14:20:52;22,8;1,80;
01.07.25 14:20:53;22,8;1,80;
01.07.25 14:20:54;22,8;1,81;
01.07.25 14:20:55;22,8;1,79;
01.07.25 14:20:56;22,8;1,80;
01.07.25 14:20:57;22,8;1,82;
01.07.25 14:20:58;22,8;1,81;
01.07.25 14:20:59;22,8;1,79;
01.07.25 14:21:00;22,8;1,80;
01.07.25 14:21:01;22,8;1,79;
Durchschnitt gesamt;22,9;1,80;
Minimum gesamt;22,8;1,77;
Maximum gesamt;23,0;1,83;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;01.07.25 14:21:03;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;01.07.25 14:20:01;01.07.25 14:21:01;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

