Datum/Uhrzeit;774 [°C];774 [m/s];
17.07.25 15:18:26;22,5;6,65;
17.07.25 15:18:27;22,5;6,65;
17.07.25 15:18:28;22,5;6,65;
17.07.25 15:18:29;22,5;6,65;
17.07.25 15:18:30;22,5;6,65;
17.07.25 15:18:31;22,5;6,65;
17.07.25 15:18:32;22,5;6,63;
17.07.25 15:18:33;22,5;6,62;
17.07.25 15:18:34;22,5;6,63;
17.07.25 15:18:35;22,5;6,63;
17.07.25 15:18:36;22,5;6,62;
17.07.25 15:18:37;22,5;6,62;
17.07.25 15:18:38;22,5;6,62;
17.07.25 15:18:39;22,5;6,63;
17.07.25 15:18:40;22,5;6,65;
17.07.25 15:18:41;22,5;6,64;
17.07.25 15:18:42;22,5;6,62;
17.07.25 15:18:43;22,5;6,62;
17.07.25 15:18:44;22,5;6,64;
17.07.25 15:18:45;22,5;6,63;
17.07.25 15:18:46;22,5;6,63;
17.07.25 15:18:47;22,5;6,61;
17.07.25 15:18:48;22,5;6,61;
17.07.25 15:18:49;22,5;6,63;
17.07.25 15:18:50;22,5;6,61;
17.07.25 15:18:51;22,5;6,61;
17.07.25 15:18:52;22,5;6,63;
17.07.25 15:18:53;22,5;6,63;
17.07.25 15:18:54;22,5;6,65;
17.07.25 15:18:55;22,5;6,63;
17.07.25 15:18:56;22,5;6,64;
17.07.25 15:18:57;22,5;6,64;
17.07.25 15:18:58;22,5;6,61;
17.07.25 15:18:59;22,5;6,61;
17.07.25 15:19:00;22,5;6,62;
17.07.25 15:19:01;22,5;6,63;
17.07.25 15:19:02;22,5;6,65;
17.07.25 15:19:03;22,5;6,65;
17.07.25 15:19:04;22,5;6,62;
17.07.25 15:19:05;22,5;6,62;
17.07.25 15:19:06;22,5;6,63;
17.07.25 15:19:07;22,5;6,62;
17.07.25 15:19:08;22,5;6,65;
17.07.25 15:19:09;22,5;6,65;
17.07.25 15:19:10;22,5;6,61;
17.07.25 15:19:11;22,5;6,59;
17.07.25 15:19:12;22,5;6,59;
17.07.25 15:19:13;22,5;6,61;
17.07.25 15:19:14;22,5;6,61;
17.07.25 15:19:15;22,5;6,64;
17.07.25 15:19:16;22,5;6,62;
17.07.25 15:19:17;22,5;6,64;
17.07.25 15:19:18;22,5;6,64;
17.07.25 15:19:19;22,5;6,60;
17.07.25 15:19:20;22,5;6,62;
17.07.25 15:19:21;22,5;6,62;
17.07.25 15:19:22;22,5;6,62;
17.07.25 15:19:23;22,5;6,62;
17.07.25 15:19:24;22,5;6,61;
17.07.25 15:19:25;22,5;6,61;
17.07.25 15:19:26;22,5;6,61;
Durchschnitt gesamt;22,5;6,63;
Minimum gesamt;22,5;6,59;
Maximum gesamt;22,5;6,65;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;17.07.25 15:19:29;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;17.07.25 15:18:26;17.07.25 15:19:26;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

