Datum/Uhrzeit;774 [°C];774 [m/s];
14.08.25 13:39:15;23,3;3,57;
14.08.25 13:39:16;23,3;3,54;
14.08.25 13:39:17;23,3;3,53;
14.08.25 13:39:18;23,3;3,64;
14.08.25 13:39:19;23,3;3,62;
14.08.25 13:39:20;23,3;3,59;
14.08.25 13:39:21;23,3;3,57;
14.08.25 13:39:22;23,3;3,65;
14.08.25 13:39:23;23,3;3,61;
14.08.25 13:39:24;23,3;3,59;
14.08.25 13:39:25;23,3;3,57;
14.08.25 13:39:26;23,3;3,56;
14.08.25 13:39:27;23,3;3,58;
14.08.25 13:39:28;23,2;3,55;
14.08.25 13:39:29;23,2;3,60;
14.08.25 13:39:30;23,2;3,60;
14.08.25 13:39:31;23,2;3,60;
14.08.25 13:39:32;23,2;3,58;
14.08.25 13:39:33;23,2;3,56;
14.08.25 13:39:34;23,2;3,59;
14.08.25 13:39:35;23,2;3,62;
14.08.25 13:39:36;23,2;3,62;
14.08.25 13:39:37;23,2;3,58;
14.08.25 13:39:38;23,2;3,63;
14.08.25 13:39:39;23,2;3,58;
14.08.25 13:39:40;23,2;3,57;
14.08.25 13:39:41;23,1;3,62;
14.08.25 13:39:42;23,1;3,57;
14.08.25 13:39:43;23,1;3,53;
14.08.25 13:39:44;23,1;3,60;
14.08.25 13:39:45;23,1;3,61;
14.08.25 13:39:46;23,1;3,55;
14.08.25 13:39:47;23,1;3,52;
14.08.25 13:39:48;23,1;3,52;
14.08.25 13:39:49;23,1;3,56;
14.08.25 13:39:50;23,1;3,52;
14.08.25 13:39:51;23,1;3,52;
14.08.25 13:39:52;23,1;3,57;
14.08.25 13:39:53;23,1;3,57;
14.08.25 13:39:54;23,1;3,60;
14.08.25 13:39:55;23,1;3,57;
14.08.25 13:39:56;23,1;3,52;
14.08.25 13:39:57;23,1;3,59;
14.08.25 13:39:58;23,1;3,54;
14.08.25 13:39:59;23,1;3,55;
14.08.25 13:40:00;23,1;3,55;
14.08.25 13:40:01;23,0;3,54;
14.08.25 13:40:02;23,0;3,57;
14.08.25 13:40:03;23,0;3,59;
14.08.25 13:40:04;23,0;3,57;
14.08.25 13:40:05;23,0;3,54;
14.08.25 13:40:06;23,0;3,53;
14.08.25 13:40:07;23,0;3,58;
14.08.25 13:40:08;23,0;3,58;
14.08.25 13:40:09;23,0;3,59;
14.08.25 13:40:10;23,0;3,56;
14.08.25 13:40:11;23,0;3,56;
14.08.25 13:40:12;23,0;3,54;
14.08.25 13:40:13;23,0;3,56;
14.08.25 13:40:14;23,0;3,57;
14.08.25 13:40:15;23,0;3,50;
Durchschnitt gesamt;23,1;3,57;
Minimum gesamt;23,0;3,50;
Maximum gesamt;23,3;3,65;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;14.08.25 13:40:16;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;14.08.25 13:39:15;14.08.25 13:40:15;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

