Datum/Uhrzeit;774 [°C];774 [m/s];
17.07.25 16:09:50;23,1;1,33;
17.07.25 16:09:51;23,1;1,33;
17.07.25 16:09:52;23,1;1,34;
17.07.25 16:09:53;23,1;1,33;
17.07.25 16:09:54;23,0;1,31;
17.07.25 16:09:55;23,0;1,30;
17.07.25 16:09:56;23,0;1,29;
17.07.25 16:09:57;23,0;1,31;
17.07.25 16:09:58;23,0;1,32;
17.07.25 16:09:59;23,0;1,31;
17.07.25 16:10:00;23,0;1,31;
17.07.25 16:10:01;23,0;1,30;
17.07.25 16:10:02;23,0;1,31;
17.07.25 16:10:03;23,0;1,32;
17.07.25 16:10:04;23,0;1,31;
17.07.25 16:10:05;23,0;1,31;
17.07.25 16:10:06;23,0;1,32;
17.07.25 16:10:07;22,9;1,32;
17.07.25 16:10:08;22,9;1,32;
17.07.25 16:10:09;22,9;1,33;
17.07.25 16:10:10;22,9;1,32;
17.07.25 16:10:11;22,9;1,31;
17.07.25 16:10:12;22,9;1,31;
17.07.25 16:10:13;22,9;1,30;
17.07.25 16:10:14;22,9;1,30;
17.07.25 16:10:15;22,9;1,30;
17.07.25 16:10:16;22,9;1,31;
17.07.25 16:10:17;22,9;1,31;
17.07.25 16:10:18;22,9;1,31;
17.07.25 16:10:19;22,9;1,32;
17.07.25 16:10:20;22,9;1,32;
17.07.25 16:10:21;22,9;1,33;
17.07.25 16:10:22;22,9;1,33;
17.07.25 16:10:23;22,9;1,31;
17.07.25 16:10:24;22,9;1,32;
17.07.25 16:10:25;22,9;1,32;
17.07.25 16:10:26;22,8;1,32;
17.07.25 16:10:27;22,8;1,32;
17.07.25 16:10:28;22,8;1,31;
17.07.25 16:10:29;22,8;1,31;
17.07.25 16:10:30;22,8;1,32;
17.07.25 16:10:31;22,8;1,32;
17.07.25 16:10:32;22,8;1,32;
17.07.25 16:10:33;22,8;1,32;
17.07.25 16:10:34;22,8;1,32;
17.07.25 16:10:35;22,8;1,33;
17.07.25 16:10:36;22,8;1,33;
17.07.25 16:10:37;22,8;1,32;
17.07.25 16:10:38;22,8;1,34;
17.07.25 16:10:39;22,8;1,33;
17.07.25 16:10:40;22,8;1,31;
17.07.25 16:10:41;22,8;1,32;
17.07.25 16:10:42;22,8;1,31;
17.07.25 16:10:43;22,8;1,31;
17.07.25 16:10:44;22,8;1,31;
17.07.25 16:10:45;22,8;1,31;
17.07.25 16:10:46;22,8;1,32;
17.07.25 16:10:47;22,8;1,33;
17.07.25 16:10:48;22,8;1,33;
17.07.25 16:10:49;22,8;1,32;
17.07.25 16:10:50;22,8;1,32;
Durchschnitt gesamt;22,9;1,32;
Minimum gesamt;22,8;1,29;
Maximum gesamt;23,1;1,34;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;17.07.25 16:10:52;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;17.07.25 16:09:50;17.07.25 16:10:50;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

