Datum/Uhrzeit;774 [°C];774 [m/s];
10.08.25 19:12:17;22,0;6,23;
10.08.25 19:12:18;22,0;6,24;
10.08.25 19:12:19;22,0;6,23;
10.08.25 19:12:20;22,0;6,24;
10.08.25 19:12:21;22,0;6,23;
10.08.25 19:12:22;22,0;6,24;
10.08.25 19:12:23;22,0;6,22;
10.08.25 19:12:24;22,0;6,21;
10.08.25 19:12:25;22,0;6,24;
10.08.25 19:12:26;22,0;6,24;
10.08.25 19:12:27;22,0;6,23;
10.08.25 19:12:28;22,0;6,23;
10.08.25 19:12:29;22,0;6,23;
10.08.25 19:12:30;22,0;6,23;
10.08.25 19:12:31;22,0;6,23;
10.08.25 19:12:32;22,0;6,23;
10.08.25 19:12:33;22,0;6,21;
10.08.25 19:12:34;22,0;6,21;
10.08.25 19:12:35;22,0;6,22;
10.08.25 19:12:36;22,0;6,21;
10.08.25 19:12:37;22,0;6,20;
10.08.25 19:12:38;22,0;6,22;
10.08.25 19:12:39;22,0;6,21;
10.08.25 19:12:40;22,0;6,21;
10.08.25 19:12:41;22,0;6,21;
10.08.25 19:12:42;22,0;6,21;
10.08.25 19:12:43;22,0;6,22;
10.08.25 19:12:44;22,0;6,23;
10.08.25 19:12:45;22,0;6,23;
10.08.25 19:12:46;22,0;6,22;
10.08.25 19:12:47;22,0;6,22;
10.08.25 19:12:48;21,9;6,22;
10.08.25 19:12:49;21,9;6,22;
10.08.25 19:12:50;21,9;6,22;
10.08.25 19:12:51;21,9;6,20;
10.08.25 19:12:52;21,9;6,21;
10.08.25 19:12:53;21,9;6,21;
10.08.25 19:12:54;21,9;6,21;
10.08.25 19:12:55;21,9;6,22;
10.08.25 19:12:56;21,9;6,22;
10.08.25 19:12:57;21,9;6,21;
10.08.25 19:12:58;21,9;6,21;
10.08.25 19:12:59;21,9;6,22;
10.08.25 19:13:00;21,9;6,21;
10.08.25 19:13:01;21,9;6,19;
10.08.25 19:13:02;21,9;6,20;
10.08.25 19:13:03;21,9;6,19;
10.08.25 19:13:04;21,9;6,21;
10.08.25 19:13:05;21,9;6,21;
10.08.25 19:13:06;21,9;6,22;
10.08.25 19:13:07;21,9;6,22;
10.08.25 19:13:08;21,9;6,22;
10.08.25 19:13:09;21,9;6,22;
10.08.25 19:13:10;21,9;6,23;
10.08.25 19:13:11;21,9;6,21;
10.08.25 19:13:12;21,9;6,21;
10.08.25 19:13:13;21,9;6,21;
10.08.25 19:13:14;21,9;6,22;
10.08.25 19:13:15;21,9;6,21;
10.08.25 19:13:16;21,9;6,19;
10.08.25 19:13:17;21,9;6,21;
Durchschnitt gesamt;22,0;6,22;
Minimum gesamt;21,9;6,19;
Maximum gesamt;22,0;6,24;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;10.08.25 19:13:18;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;10.08.25 19:12:17;10.08.25 19:13:17;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

