Datum/Uhrzeit;774 [°C];774 [m/s];
10.08.25 18:55:29;22,0;4,23;
10.08.25 18:55:30;22,0;4,23;
10.08.25 18:55:31;22,0;4,22;
10.08.25 18:55:32;22,0;4,24;
10.08.25 18:55:33;22,0;4,23;
10.08.25 18:55:34;22,0;4,24;
10.08.25 18:55:35;22,0;4,23;
10.08.25 18:55:36;22,0;4,23;
10.08.25 18:55:37;22,0;4,22;
10.08.25 18:55:38;22,0;4,22;
10.08.25 18:55:39;22,0;4,24;
10.08.25 18:55:40;22,0;4,21;
10.08.25 18:55:41;22,0;4,22;
10.08.25 18:55:42;22,0;4,22;
10.08.25 18:55:43;22,0;4,22;
10.08.25 18:55:44;22,0;4,22;
10.08.25 18:55:45;22,0;4,22;
10.08.25 18:55:46;21,9;4,22;
10.08.25 18:55:47;21,9;4,22;
10.08.25 18:55:48;21,9;4,22;
10.08.25 18:55:49;21,9;4,22;
10.08.25 18:55:50;21,9;4,23;
10.08.25 18:55:51;21,9;4,22;
10.08.25 18:55:52;21,9;4,21;
10.08.25 18:55:53;21,9;4,21;
10.08.25 18:55:54;21,9;4,21;
10.08.25 18:55:55;21,9;4,21;
10.08.25 18:55:56;21,9;4,22;
10.08.25 18:55:57;21,9;4,21;
10.08.25 18:55:58;21,9;4,21;
10.08.25 18:55:59;21,9;4,20;
10.08.25 18:56:00;21,9;4,20;
10.08.25 18:56:01;21,9;4,22;
10.08.25 18:56:02;21,9;4,21;
10.08.25 18:56:03;21,9;4,21;
10.08.25 18:56:04;21,9;4,21;
10.08.25 18:56:05;21,9;4,21;
10.08.25 18:56:06;21,9;4,21;
10.08.25 18:56:07;21,9;4,20;
10.08.25 18:56:08;21,9;4,20;
10.08.25 18:56:09;21,9;4,20;
10.08.25 18:56:10;21,9;4,19;
10.08.25 18:56:11;21,9;4,19;
10.08.25 18:56:12;21,9;4,19;
10.08.25 18:56:13;21,9;4,19;
10.08.25 18:56:14;21,9;4,20;
10.08.25 18:56:15;21,9;4,20;
10.08.25 18:56:16;21,9;4,21;
10.08.25 18:56:17;21,9;4,21;
10.08.25 18:56:18;21,9;4,19;
10.08.25 18:56:19;21,9;4,19;
10.08.25 18:56:20;21,9;4,19;
10.08.25 18:56:21;21,9;4,21;
10.08.25 18:56:22;21,9;4,20;
10.08.25 18:56:23;21,9;4,21;
10.08.25 18:56:24;21,9;4,20;
10.08.25 18:56:25;21,9;4,20;
10.08.25 18:56:26;21,9;4,20;
10.08.25 18:56:27;21,9;4,21;
10.08.25 18:56:28;21,9;4,19;
10.08.25 18:56:29;21,9;4,18;
Durchschnitt gesamt;21,9;4,21;
Minimum gesamt;21,9;4,18;
Maximum gesamt;22,0;4,24;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;10.08.25 18:56:31;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;10.08.25 18:55:29;10.08.25 18:56:29;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

