Datum/Uhrzeit;774 [°C];774 [m/s];
18.07.25 10:59:38;22,1;4,41;
18.07.25 10:59:39;22,1;4,39;
18.07.25 10:59:40;22,1;4,40;
18.07.25 10:59:41;22,1;4,39;
18.07.25 10:59:42;22,1;4,39;
18.07.25 10:59:43;22,1;4,37;
18.07.25 10:59:44;22,1;4,38;
18.07.25 10:59:45;22,1;4,38;
18.07.25 10:59:46;22,1;4,37;
18.07.25 10:59:47;22,1;4,38;
18.07.25 10:59:48;22,1;4,39;
18.07.25 10:59:49;22,1;4,39;
18.07.25 10:59:50;22,1;4,39;
18.07.25 10:59:51;22,1;4,40;
18.07.25 10:59:52;22,1;4,40;
18.07.25 10:59:53;22,1;4,39;
18.07.25 10:59:54;22,1;4,38;
18.07.25 10:59:55;22,1;4,38;
18.07.25 10:59:56;22,1;4,41;
18.07.25 10:59:57;22,1;4,40;
18.07.25 10:59:58;22,1;4,40;
18.07.25 10:59:59;22,1;4,40;
18.07.25 11:00:00;22,1;4,39;
18.07.25 11:00:01;22,1;4,40;
18.07.25 11:00:02;22,1;4,40;
18.07.25 11:00:03;22,1;4,38;
18.07.25 11:00:04;22,1;4,38;
18.07.25 11:00:05;22,1;4,38;
18.07.25 11:00:06;22,1;4,40;
18.07.25 11:00:07;22,1;4,41;
18.07.25 11:00:08;22,1;4,39;
18.07.25 11:00:09;22,1;4,41;
18.07.25 11:00:10;22,1;4,39;
18.07.25 11:00:11;22,1;4,39;
18.07.25 11:00:12;22,1;4,39;
18.07.25 11:00:13;22,1;4,39;
18.07.25 11:00:14;22,1;4,39;
18.07.25 11:00:15;22,1;4,39;
18.07.25 11:00:16;22,1;4,37;
18.07.25 11:00:17;22,1;4,36;
18.07.25 11:00:18;22,1;4,36;
18.07.25 11:00:19;22,1;4,38;
18.07.25 11:00:20;22,1;4,38;
18.07.25 11:00:21;22,1;4,38;
18.07.25 11:00:22;22,1;4,39;
18.07.25 11:00:23;22,1;4,39;
18.07.25 11:00:24;22,1;4,39;
18.07.25 11:00:25;22,1;4,38;
18.07.25 11:00:26;22,1;4,39;
18.07.25 11:00:27;22,1;4,39;
18.07.25 11:00:28;22,1;4,37;
18.07.25 11:00:29;22,1;4,36;
18.07.25 11:00:30;22,1;4,38;
18.07.25 11:00:31;22,1;4,36;
18.07.25 11:00:32;22,1;4,36;
18.07.25 11:00:33;22,1;4,39;
18.07.25 11:00:34;22,1;4,39;
18.07.25 11:00:35;22,1;4,39;
18.07.25 11:00:36;22,1;4,39;
18.07.25 11:00:37;22,1;4,39;
18.07.25 11:00:38;22,1;4,40;
Durchschnitt gesamt;22,1;4,39;
Minimum gesamt;22,1;4,36;
Maximum gesamt;22,1;4,41;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;18.07.25 11:00:39;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;18.07.25 10:59:38;18.07.25 11:00:38;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

