Datum/Uhrzeit;774 [°C];774 [m/s];
10.08.25 18:59:12;22,1;4,69;
10.08.25 18:59:13;22,1;4,70;
10.08.25 18:59:14;22,1;4,70;
10.08.25 18:59:15;22,1;4,70;
10.08.25 18:59:16;22,1;4,69;
10.08.25 18:59:17;22,1;4,69;
10.08.25 18:59:18;22,1;4,70;
10.08.25 18:59:19;22,1;4,68;
10.08.25 18:59:20;22,1;4,68;
10.08.25 18:59:21;22,1;4,67;
10.08.25 18:59:22;22,1;4,67;
10.08.25 18:59:23;22,0;4,66;
10.08.25 18:59:24;22,0;4,66;
10.08.25 18:59:25;22,0;4,68;
10.08.25 18:59:26;22,0;4,67;
10.08.25 18:59:27;22,0;4,66;
10.08.25 18:59:28;22,0;4,66;
10.08.25 18:59:29;22,0;4,67;
10.08.25 18:59:30;22,0;4,68;
10.08.25 18:59:31;22,0;4,67;
10.08.25 18:59:32;22,0;4,66;
10.08.25 18:59:33;22,0;4,66;
10.08.25 18:59:34;22,0;4,67;
10.08.25 18:59:35;22,0;4,67;
10.08.25 18:59:36;22,0;4,66;
10.08.25 18:59:37;22,0;4,67;
10.08.25 18:59:38;22,0;4,66;
10.08.25 18:59:39;22,0;4,66;
10.08.25 18:59:40;22,0;4,66;
10.08.25 18:59:41;22,0;4,67;
10.08.25 18:59:42;22,0;4,65;
10.08.25 18:59:43;22,0;4,66;
10.08.25 18:59:44;22,0;4,67;
10.08.25 18:59:45;22,0;4,67;
10.08.25 18:59:46;22,0;4,67;
10.08.25 18:59:47;22,0;4,67;
10.08.25 18:59:48;22,0;4,66;
10.08.25 18:59:49;22,0;4,66;
10.08.25 18:59:50;22,0;4,66;
10.08.25 18:59:51;22,0;4,67;
10.08.25 18:59:52;22,0;4,65;
10.08.25 18:59:53;21,9;4,65;
10.08.25 18:59:54;21,9;4,67;
10.08.25 18:59:55;21,9;4,67;
10.08.25 18:59:56;21,9;4,66;
10.08.25 18:59:57;21,9;4,65;
10.08.25 18:59:58;21,9;4,65;
10.08.25 18:59:59;21,9;4,65;
10.08.25 19:00:00;21,9;4,65;
10.08.25 19:00:01;21,9;4,65;
10.08.25 19:00:02;21,9;4,65;
10.08.25 19:00:03;21,9;4,65;
10.08.25 19:00:04;21,9;4,65;
10.08.25 19:00:05;21,9;4,64;
10.08.25 19:00:06;21,9;4,64;
10.08.25 19:00:07;21,9;4,65;
10.08.25 19:00:08;21,9;4,64;
10.08.25 19:00:09;21,9;4,65;
10.08.25 19:00:10;21,9;4,64;
10.08.25 19:00:11;21,9;4,64;
10.08.25 19:00:12;21,9;4,64;
Durchschnitt gesamt;22,0;4,66;
Minimum gesamt;21,9;4,64;
Maximum gesamt;22,1;4,70;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;10.08.25 19:00:14;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;10.08.25 18:59:12;10.08.25 19:00:12;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

