Datum/Uhrzeit;774 [°C];774 [m/s];
18.07.25 11:06:10;22,2;4,94;
18.07.25 11:06:11;22,2;4,94;
18.07.25 11:06:12;22,2;4,94;
18.07.25 11:06:13;22,2;4,94;
18.07.25 11:06:14;22,2;4,92;
18.07.25 11:06:15;22,2;4,93;
18.07.25 11:06:16;22,2;4,95;
18.07.25 11:06:17;22,2;4,93;
18.07.25 11:06:18;22,2;4,95;
18.07.25 11:06:19;22,2;4,95;
18.07.25 11:06:20;22,2;4,95;
18.07.25 11:06:21;22,2;4,96;
18.07.25 11:06:22;22,2;4,94;
18.07.25 11:06:23;22,2;4,96;
18.07.25 11:06:24;22,2;4,94;
18.07.25 11:06:25;22,2;4,96;
18.07.25 11:06:26;22,2;4,94;
18.07.25 11:06:27;22,2;4,94;
18.07.25 11:06:28;22,2;4,93;
18.07.25 11:06:29;22,2;4,94;
18.07.25 11:06:30;22,2;4,94;
18.07.25 11:06:31;22,2;4,93;
18.07.25 11:06:32;22,2;4,94;
18.07.25 11:06:33;22,2;4,92;
18.07.25 11:06:34;22,2;4,91;
18.07.25 11:06:35;22,2;4,93;
18.07.25 11:06:36;22,2;4,92;
18.07.25 11:06:37;22,2;4,93;
18.07.25 11:06:38;22,2;4,93;
18.07.25 11:06:39;22,2;4,94;
18.07.25 11:06:40;22,2;4,94;
18.07.25 11:06:41;22,2;4,94;
18.07.25 11:06:42;22,2;4,94;
18.07.25 11:06:43;22,2;4,94;
18.07.25 11:06:44;22,2;4,95;
18.07.25 11:06:45;22,2;4,95;
18.07.25 11:06:46;22,2;4,95;
18.07.25 11:06:47;22,2;4,95;
18.07.25 11:06:48;22,2;4,93;
18.07.25 11:06:49;22,2;4,94;
18.07.25 11:06:50;22,2;4,93;
18.07.25 11:06:51;22,2;4,93;
18.07.25 11:06:52;22,2;4,93;
18.07.25 11:06:53;22,2;4,93;
18.07.25 11:06:54;22,2;4,92;
18.07.25 11:06:55;22,2;4,94;
18.07.25 11:06:56;22,2;4,93;
18.07.25 11:06:57;22,2;4,94;
18.07.25 11:06:58;22,2;4,93;
18.07.25 11:06:59;22,2;4,93;
18.07.25 11:07:00;22,2;4,93;
18.07.25 11:07:01;22,2;4,93;
18.07.25 11:07:02;22,2;4,94;
18.07.25 11:07:03;22,2;4,94;
18.07.25 11:07:04;22,2;4,93;
18.07.25 11:07:05;22,2;4,94;
18.07.25 11:07:06;22,2;4,93;
18.07.25 11:07:07;22,2;4,94;
18.07.25 11:07:08;22,2;4,93;
18.07.25 11:07:09;22,2;4,93;
18.07.25 11:07:10;22,2;4,95;
Durchschnitt gesamt;22,2;4,94;
Minimum gesamt;22,2;4,91;
Maximum gesamt;22,2;4,96;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;18.07.25 11:07:12;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;18.07.25 11:06:10;18.07.25 11:07:10;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

