Datum/Uhrzeit;774 [°C];774 [m/s];
18.07.25 11:33:56;22,4;5,98;
18.07.25 11:33:57;22,4;5,99;
18.07.25 11:33:58;22,4;5,98;
18.07.25 11:33:59;22,4;5,98;
18.07.25 11:34:00;22,4;5,99;
18.07.25 11:34:01;22,4;6,00;
18.07.25 11:34:02;22,4;5,99;
18.07.25 11:34:03;22,4;5,97;
18.07.25 11:34:04;22,4;5,98;
18.07.25 11:34:05;22,4;5,98;
18.07.25 11:34:06;22,4;5,99;
18.07.25 11:34:07;22,4;5,99;
18.07.25 11:34:08;22,4;5,98;
18.07.25 11:34:09;22,4;5,97;
18.07.25 11:34:10;22,4;5,98;
18.07.25 11:34:11;22,4;5,98;
18.07.25 11:34:12;22,4;5,98;
18.07.25 11:34:13;22,4;5,99;
18.07.25 11:34:14;22,4;5,98;
18.07.25 11:34:15;22,4;5,98;
18.07.25 11:34:16;22,4;5,98;
18.07.25 11:34:17;22,4;5,98;
18.07.25 11:34:18;22,4;5,98;
18.07.25 11:34:19;22,4;5,98;
18.07.25 11:34:20;22,4;5,97;
18.07.25 11:34:21;22,4;5,99;
18.07.25 11:34:22;22,4;5,99;
18.07.25 11:34:23;22,4;5,99;
18.07.25 11:34:24;22,4;5,98;
18.07.25 11:34:25;22,4;5,98;
18.07.25 11:34:26;22,4;5,98;
18.07.25 11:34:27;22,4;5,97;
18.07.25 11:34:28;22,4;5,97;
18.07.25 11:34:29;22,4;5,99;
18.07.25 11:34:30;22,4;5,97;
18.07.25 11:34:31;22,4;5,98;
18.07.25 11:34:32;22,4;5,98;
18.07.25 11:34:33;22,4;5,98;
18.07.25 11:34:34;22,4;5,98;
18.07.25 11:34:35;22,4;5,98;
18.07.25 11:34:36;22,4;5,96;
18.07.25 11:34:37;22,4;5,97;
18.07.25 11:34:38;22,4;5,99;
18.07.25 11:34:39;22,4;5,99;
18.07.25 11:34:40;22,4;5,97;
18.07.25 11:34:41;22,4;5,96;
18.07.25 11:34:42;22,4;5,97;
18.07.25 11:34:43;22,4;5,96;
18.07.25 11:34:44;22,4;5,97;
18.07.25 11:34:45;22,4;5,97;
18.07.25 11:34:46;22,4;5,97;
18.07.25 11:34:47;22,4;5,97;
18.07.25 11:34:48;22,4;5,98;
18.07.25 11:34:49;22,4;5,97;
18.07.25 11:34:50;22,4;5,99;
18.07.25 11:34:51;22,4;5,98;
18.07.25 11:34:52;22,4;5,97;
18.07.25 11:34:53;22,4;5,99;
18.07.25 11:34:54;22,4;5,96;
18.07.25 11:34:55;22,4;5,98;
18.07.25 11:34:56;22,4;5,97;
Durchschnitt gesamt;22,4;5,98;
Minimum gesamt;22,4;5,96;
Maximum gesamt;22,4;6,00;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;18.07.25 11:34:57;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;18.07.25 11:33:56;18.07.25 11:34:56;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

