Datum/Uhrzeit;774 [°C];774 [m/s];
05.06.25 13:50:11;20,8;20,11;
05.06.25 13:50:12;20,8;20,10;
05.06.25 13:50:13;20,8;20,05;
05.06.25 13:50:14;20,8;20,13;
05.06.25 13:50:15;20,8;20,08;
05.06.25 13:50:16;20,9;20,10;
05.06.25 13:50:17;20,9;20,14;
05.06.25 13:50:18;20,9;20,03;
05.06.25 13:50:19;20,9;20,11;
05.06.25 13:50:20;20,9;20,12;
05.06.25 13:50:21;20,9;20,10;
05.06.25 13:50:22;20,9;20,21;
05.06.25 13:50:23;20,9;20,21;
05.06.25 13:50:24;20,9;20,18;
05.06.25 13:50:25;20,9;20,09;
05.06.25 13:50:26;20,9;20,23;
05.06.25 13:50:27;20,9;20,25;
05.06.25 13:50:28;20,9;20,22;
05.06.25 13:50:29;20,9;20,28;
05.06.25 13:50:30;20,9;20,18;
05.06.25 13:50:31;20,9;20,22;
05.06.25 13:50:32;20,9;20,22;
05.06.25 13:50:33;20,9;20,21;
05.06.25 13:50:34;20,9;20,18;
05.06.25 13:50:35;21,0;20,15;
05.06.25 13:50:36;21,0;20,22;
05.06.25 13:50:37;21,0;20,25;
05.06.25 13:50:38;21,0;20,29;
05.06.25 13:50:39;21,0;20,25;
05.06.25 13:50:40;21,0;20,25;
05.06.25 13:50:41;21,0;20,20;
05.06.25 13:50:42;21,0;20,33;
05.06.25 13:50:43;21,0;20,25;
05.06.25 13:50:44;21,0;20,18;
05.06.25 13:50:45;21,0;20,27;
05.06.25 13:50:46;21,0;20,26;
05.06.25 13:50:47;21,0;20,17;
05.06.25 13:50:48;21,0;20,19;
05.06.25 13:50:49;21,0;20,26;
05.06.25 13:50:50;21,0;20,24;
05.06.25 13:50:51;21,0;20,22;
05.06.25 13:50:52;21,0;20,29;
05.06.25 13:50:53;21,0;20,25;
05.06.25 13:50:54;21,0;20,24;
05.06.25 13:50:55;21,0;20,25;
05.06.25 13:50:56;21,0;20,25;
05.06.25 13:50:57;21,0;20,27;
05.06.25 13:50:58;21,0;20,29;
05.06.25 13:50:59;21,0;20,27;
05.06.25 13:51:00;21,0;20,32;
05.06.25 13:51:01;21,0;20,16;
05.06.25 13:51:02;21,0;20,18;
05.06.25 13:51:03;21,0;20,24;
05.06.25 13:51:04;21,0;20,20;
05.06.25 13:51:05;21,0;20,26;
05.06.25 13:51:06;21,0;20,18;
05.06.25 13:51:07;21,0;20,24;
05.06.25 13:51:08;21,0;20,23;
05.06.25 13:51:09;21,0;20,19;
05.06.25 13:51:10;21,0;20,26;
05.06.25 13:51:11;21,0;20,18;
Durchschnitt gesamt;21,0;20,20;
Minimum gesamt;20,8;20,03;
Maximum gesamt;21,0;20,33;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;05.06.25 13:51:12;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;05.06.25 13:50:11;05.06.25 13:51:11;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

