Datum/Uhrzeit;774 [°C];774 [m/s];
17.07.25 16:13:47;22,9;0,02;
17.07.25 16:13:48;22,9;0,02;
17.07.25 16:13:49;22,9;0,03;
17.07.25 16:13:50;22,9;0,03;
17.07.25 16:13:51;22,8;0,03;
17.07.25 16:13:52;22,8;0,02;
17.07.25 16:13:53;22,8;0,02;
17.07.25 16:13:54;22,8;0,02;
17.07.25 16:13:55;22,8;0,01;
17.07.25 16:13:56;22,8;0,00;
17.07.25 16:13:57;22,8;0,00;
17.07.25 16:13:58;22,8;0,00;
17.07.25 16:13:59;22,8;0,00;
17.07.25 16:14:00;22,8;0,00;
17.07.25 16:14:01;22,8;0,00;
17.07.25 16:14:02;22,8;0,00;
17.07.25 16:14:03;22,8;0,00;
17.07.25 16:14:04;22,8;0,00;
17.07.25 16:14:05;22,8;0,00;
17.07.25 16:14:06;22,8;0,00;
17.07.25 16:14:07;22,8;0,00;
17.07.25 16:14:08;22,8;0,00;
17.07.25 16:14:09;22,8;0,00;
17.07.25 16:14:10;22,8;0,00;
17.07.25 16:14:11;22,8;0,00;
17.07.25 16:14:12;22,8;0,00;
17.07.25 16:14:13;22,8;0,00;
17.07.25 16:14:14;22,8;0,00;
17.07.25 16:14:15;22,8;0,00;
17.07.25 16:14:16;22,8;0,00;
17.07.25 16:14:17;22,8;0,00;
17.07.25 16:14:18;22,8;0,00;
17.07.25 16:14:19;22,8;0,00;
17.07.25 16:14:20;22,8;0,00;
17.07.25 16:14:21;22,8;0,00;
17.07.25 16:14:22;22,8;0,00;
17.07.25 16:14:23;22,8;0,00;
17.07.25 16:14:24;22,8;0,00;
17.07.25 16:14:25;22,8;0,00;
17.07.25 16:14:26;22,8;0,00;
17.07.25 16:14:27;22,8;0,00;
17.07.25 16:14:28;22,8;0,00;
17.07.25 16:14:29;22,8;0,00;
17.07.25 16:14:30;22,8;0,00;
17.07.25 16:14:31;22,8;0,00;
17.07.25 16:14:32;22,8;0,00;
17.07.25 16:14:33;22,8;0,00;
17.07.25 16:14:34;22,8;0,00;
17.07.25 16:14:35;22,8;0,00;
17.07.25 16:14:36;22,8;0,00;
17.07.25 16:14:37;22,8;0,00;
17.07.25 16:14:38;22,8;0,00;
17.07.25 16:14:39;22,8;0,00;
17.07.25 16:14:40;22,8;0,00;
17.07.25 16:14:41;22,8;0,00;
17.07.25 16:14:42;22,8;0,00;
17.07.25 16:14:43;22,8;0,00;
17.07.25 16:14:44;22,8;0,00;
17.07.25 16:14:45;22,8;0,00;
17.07.25 16:14:46;22,8;0,00;
17.07.25 16:14:47;22,8;0,00;
17.07.25 16:14:48;22,8;0,00;
17.07.25 16:14:49;22,8;0,00;
Durchschnitt gesamt;22,8;0,00;
Minimum gesamt;22,8;0,00;
Maximum gesamt;22,9;0,03;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;17.07.25 16:14:51;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;17.07.25 16:13:47;17.07.25 16:14:49;1 Min 2 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

