Time (s),Distance
0,435.3384939
0.000976563,437.4388198
0.001953125,438.4889828
0.002929688,436.3886568
0.00390625,430.6127605
0.004882813,423.2616197
0.005859375,415.910479
0.006835938,406.4590123
0.0078125,394.3821381
0.008789063,384.4055899
0.009765625,379.1547751
0.010742188,376.5293677
0.01171875,377.0544492
0.012695313,381.7801825
0.013671875,386.5059159
0.014648438,389.6564048
0.015625,391.7567307
0.016601563,393.8570566
0.017578125,397.0075455
0.018554688,401.7332789
0.01953125,404.3586863
0.020507813,406.4590123
0.021484375,407.5091752
0.022460938,404.8837678
0.0234375,403.8336048
0.024414063,405.9339308
0.025390625,403.3085234
0.026367188,401.2081974
0.02734375,405.9339308
0.028320313,409.6095012
0.029296875,408.5593382
0.030273438,409.0844197
0.03125,414.860316
0.032226563,417.4857234
0.033203125,415.3853975
0.034179688,414.3352345
0.03515625,416.4355604
0.036132813,415.3853975
0.037109375,410.6596641
0.038085938,409.6095012
0.0390625,409.0844197
0.040039063,408.0342567
0.041015625,406.4590123
0.041992188,406.9840937
0.04296875,409.6095012
0.043945313,412.7599901
0.044921875,414.3352345
0.045898438,416.9606419
0.046875,419.5860493
0.047851563,420.6362123
0.048828125,420.1111308
0.049804688,418.5358864
0.05078125,414.860316
0.051757813,407.5091752
0.052734375,403.3085234
0.053710938,402.2583604
0.0546875,397.0075455
0.055664063,392.2818122
0.056640625,394.9072196
0.057617188,402.2583604
0.05859375,405.4088493
0.059570313,410.1345826
0.060546875,419.0609679
0.061523438,424.3117827
0.0625,424.3117827
0.063476563,426.4121086
0.064453125,429.5625975
0.065429688,427.9873531
0.06640625,422.2114568
0.067382813,419.0609679
0.068359375,414.860316
0.069335938,406.4590123
0.0703125,399.1078715
0.071289063,396.4824641
0.072265625,392.2818122
0.073242188,388.0811603
0.07421875,389.1313233
0.075195313,396.4824641
0.076171875,404.3586863
0.077148438,414.860316
0.078125,428.5124346
0.079101563,436.3886568
0.080078125,437.4388198
0.081054688,438.4889828
0.08203125,439.0140642
0.083007813,431.6629235
0.083984375,419.0609679
0.084960938,411.7098271
0.0859375,406.4590123
0.086914063,397.0075455
0.087890625,391.2316492
0.088867188,393.8570566
0.08984375,395.4323011
0.090820313,397.532627
0.091796875,406.4590123
0.092773438,416.9606419
0.09375,422.2114568
0.094726563,425.3619457
0.095703125,432.188005
0.096679688,437.9639013
0.09765625,437.9639013
0.098632813,435.8635753
0.099609375,433.7632494
0.100585938,425.8870272
0.1015625,412.2349086
0.102539063,402.7834419
0.103515625,396.4824641
0.104492188,389.6564048
0.10546875,387.5560788
0.106445313,390.7065677
0.107421875,394.9072196
0.108398438,401.2081974
0.109375,407.5091752
0.110351563,412.7599901
0.111328125,418.0108049
0.112304688,423.7867012
0.11328125,426.9371901
0.114257813,427.4622716
0.115234375,425.8870272
0.116210938,424.3117827
0.1171875,421.6863753
0.118164063,417.4857234
0.119140625,414.3352345
0.120117188,410.6596641
0.12109375,405.9339308
0.122070313,400.1580345
0.123046875,398.0577085
0.124023438,394.9072196
0.125,393.3319752
0.125976563,394.3821381
0.126953125,395.9573826
0.127929688,398.58279
0.12890625,403.8336048
0.129882813,410.1345826
0.130859375,414.860316
0.131835938,418.5358864
0.1328125,420.6362123
0.133789063,421.6863753
0.134765625,420.6362123
0.135742188,419.5860493
0.13671875,418.5358864
0.137695313,416.4355604
0.138671875,415.3853975
0.139648438,415.3853975
0.140625,414.860316
0.141601563,413.2850715
0.142578125,414.3352345
0.143554688,417.4857234
0.14453125,415.3853975
0.145507813,409.6095012
0.146484375,407.5091752
0.147460938,406.4590123
0.1484375,402.7834419
0.149414063,398.58279
0.150390625,394.9072196
0.151367188,391.7567307
0.15234375,387.5560788
0.153320313,385.4557529
0.154296875,384.4055899
0.155273438,385.4557529
0.15625,390.7065677
0.157226563,398.58279
0.158203125,404.8837678
0.159179688,412.2349086
0.16015625,420.1111308
0.161132813,426.4121086
0.162109375,427.4622716
0.163085938,425.3619457
0.1640625,423.2616197
0.165039063,419.5860493
0.166015625,415.3853975
0.166992188,411.1847456
0.16796875,408.5593382
0.168945313,403.8336048
0.169921875,400.1580345
0.170898438,400.6831159
0.171875,402.7834419
0.172851563,404.8837678
0.173828125,410.6596641
0.174804688,418.0108049
0.17578125,422.2114568
0.176757813,420.6362123
0.177734375,419.5860493
0.178710938,420.6362123
0.1796875,418.0108049
0.180664063,415.3853975
0.181640625,418.5358864
0.182617188,422.2114568
0.18359375,422.7365382
0.184570313,421.1612938
0.185546875,420.1111308
0.186523438,418.0108049
0.1875,413.810153
0.188476563,408.5593382
0.189453125,404.3586863
0.190429688,402.2583604
0.19140625,399.632953
0.192382813,399.1078715
0.193359375,400.6831159
0.194335938,401.7332789
0.1953125,403.3085234
0.196289063,405.9339308
0.197265625,408.0342567
0.198242188,409.6095012
0.19921875,411.7098271
0.200195313,412.2349086
0.201171875,411.7098271
0.202148438,408.5593382
0.203125,405.9339308
0.204101563,406.9840937
0.205078125,408.5593382
0.206054688,413.810153
0.20703125,422.2114568
0.208007813,431.137842
0.208984375,437.9639013
0.209960938,439.5391457
0.2109375,439.5391457
0.211914063,435.3384939
0.212890625,425.8870272
0.213867188,411.7098271
0.21484375,398.58279
0.215820313,389.6564048
0.216796875,379.1547751
0.217773438,372.8537973
0.21875,377.5795307
0.219726563,384.9306714
0.220703125,392.8068937
0.221679688,407.5091752
0.22265625,422.7365382
0.223632813,430.087679
0.224609375,433.7632494
0.225585938,441.1143902
0.2265625,446.8902865
0.227539063,444.2648791
0.228515625,439.0140642
0.229492188,436.9137383
0.23046875,430.6127605
0.231445313,417.4857234
0.232421875,410.6596641
0.233398438,410.6596641
0.234375,405.9339308
0.235351563,403.3085234
0.236328125,410.6596641
0.237304688,418.5358864
0.23828125,423.7867012
0.239257813,428.5124346
0.240234375,434.8134124
0.241210938,437.4388198
0.2421875,435.3384939
0.243164063,432.7130864
