Time (s),Distance
0,436.3886568
0.000976563,438.4889828
0.001953125,439.5391457
0.002929688,441.6394717
0.00390625,443.2147161
0.004882813,443.7397976
0.005859375,443.7397976
0.006835938,443.7397976
0.0078125,442.1645531
0.008789063,440.0642272
0.009765625,437.9639013
0.010742188,435.8635753
0.01171875,433.7632494
0.012695313,431.6629235
0.013671875,430.087679
0.014648438,429.0375161
0.015625,427.4622716
0.016601563,425.3619457
0.017578125,424.3117827
0.018554688,423.2616197
0.01953125,423.2616197
0.020507813,423.2616197
0.021484375,425.3619457
0.022460938,427.9873531
0.0234375,430.6127605
0.024414063,433.7632494
0.025390625,436.3886568
0.026367188,437.9639013
0.02734375,439.0140642
0.028320313,440.0642272
0.029296875,441.1143902
0.030273438,442.6896346
0.03125,443.2147161
0.032226563,443.2147161
0.033203125,443.2147161
0.034179688,442.6896346
0.03515625,442.1645531
0.036132813,441.1143902
0.037109375,439.5391457
0.038085938,436.9137383
0.0390625,434.2883309
0.040039063,431.137842
0.041015625,429.5625975
0.041992188,427.9873531
0.04296875,427.4622716
0.043945313,426.9371901
0.044921875,426.9371901
0.045898438,426.9371901
0.046875,426.9371901
0.047851563,426.9371901
0.048828125,427.9873531
0.049804688,429.0375161
0.05078125,429.5625975
0.051757813,430.6127605
0.052734375,432.188005
0.053710938,433.7632494
0.0546875,435.8635753
0.055664063,438.4889828
0.056640625,440.5893087
0.057617188,441.1143902
0.05859375,441.6394717
0.059570313,441.6394717
0.060546875,441.6394717
0.061523438,441.6394717
0.0625,442.1645531
0.063476563,443.2147161
0.064453125,443.2147161
0.065429688,443.7397976
0.06640625,442.6896346
0.067382813,441.6394717
0.068359375,440.5893087
0.069335938,439.0140642
0.0703125,437.4388198
0.071289063,435.8635753
0.072265625,434.8134124
0.073242188,433.7632494
0.07421875,433.2381679
0.075195313,432.7130864
0.076171875,432.7130864
0.077148438,432.7130864
0.078125,432.7130864
0.079101563,432.7130864
0.080078125,432.7130864
0.081054688,432.188005
0.08203125,432.188005
0.083007813,432.7130864
0.083984375,434.2883309
0.084960938,436.3886568
0.0859375,436.9137383
0.086914063,437.4388198
0.087890625,437.9639013
0.088867188,437.9639013
0.08984375,436.9137383
0.090820313,436.9137383
0.091796875,437.9639013
