Time (s),Distance
0,419.0609679
0.000976563,417.4857234
0.001953125,413.810153
0.002929688,410.1345826
0.00390625,403.8336048
0.004882813,395.9573826
0.005859375,389.6564048
0.006835938,388.6062418
0.0078125,389.1313233
0.008789063,390.7065677
0.009765625,395.4323011
0.010742188,402.7834419
0.01171875,409.0844197
0.012695313,414.860316
0.013671875,421.1612938
0.014648438,426.9371901
0.015625,429.0375161
0.016601563,427.4622716
0.017578125,424.3117827
0.018554688,417.4857234
0.01953125,408.5593382
0.020507813,401.2081974
0.021484375,395.9573826
0.022460938,393.3319752
0.0234375,392.2818122
0.024414063,392.2818122
0.025390625,393.8570566
0.026367188,397.532627
0.02734375,401.7332789
0.028320313,407.5091752
0.029296875,412.7599901
0.030273438,417.4857234
0.03125,419.0609679
0.032226563,419.0609679
0.033203125,416.9606419
0.034179688,413.2850715
0.03515625,408.5593382
0.036132813,403.8336048
0.037109375,400.1580345
0.038085938,395.9573826
0.0390625,391.7567307
0.040039063,391.7567307
0.041015625,394.3821381
0.041992188,398.0577085
0.04296875,404.3586863
0.043945313,412.7599901
0.044921875,419.0609679
0.045898438,422.2114568
0.046875,423.7867012
0.047851563,422.2114568
0.048828125,417.4857234
0.049804688,410.6596641
0.05078125,404.8837678
0.051757813,399.1078715
0.052734375,393.3319752
0.053710938,388.6062418
0.0546875,386.5059159
0.055664063,385.9808344
0.056640625,387.5560788
0.057617188,392.8068937
0.05859375,400.1580345
0.059570313,406.4590123
0.060546875,413.2850715
0.061523438,419.0609679
0.0625,423.2616197
0.063476563,424.3117827
0.064453125,423.2616197
0.065429688,419.5860493
0.06640625,413.2850715
0.067382813,404.8837678
0.068359375,397.532627
0.069335938,391.2316492
0.0703125,385.9808344
0.071289063,383.8805085
0.072265625,385.9808344
0.073242188,390.7065677
0.07421875,398.0577085
0.075195313,405.9339308
0.076171875,413.2850715
0.077148438,418.5358864
0.078125,423.2616197
0.079101563,425.3619457
0.080078125,425.3619457
0.081054688,423.2616197
0.08203125,419.5860493
0.083007813,413.2850715
0.083984375,405.9339308
0.084960938,399.1078715
0.0859375,393.3319752
0.086914063,390.1814863
0.087890625,390.1814863
0.088867188,392.2818122
0.08984375,397.532627
0.090820313,402.7834419
0.091796875,408.0342567
0.092773438,412.2349086
0.09375,415.3853975
0.094726563,416.4355604
0.095703125,415.910479
0.096679688,412.7599901
0.09765625,406.4590123
0.098632813,399.1078715
0.099609375,393.3319752
0.100585938,388.6062418
0.1015625,387.5560788
0.102539063,389.1313233
0.103515625,393.3319752
0.104492188,397.532627
0.10546875,401.7332789
0.106445313,406.4590123
0.107421875,411.1847456
0.108398438,416.4355604
0.109375,420.6362123
0.110351563,422.7365382
0.111328125,423.2616197
0.112304688,420.6362123
0.11328125,414.860316
0.114257813,407.5091752
0.115234375,402.2583604
0.116210938,395.9573826
0.1171875,389.6564048
0.118164063,387.0309974
0.119140625,385.9808344
0.120117188,386.5059159
0.12109375,390.1814863
0.122070313,397.532627
0.123046875,406.9840937
0.124023438,413.810153
0.125,420.1111308
0.125976563,425.3619457
0.126953125,425.8870272
0.127929688,421.1612938
0.12890625,415.3853975
0.129882813,410.1345826
0.130859375,402.7834419
0.131835938,395.4323011
0.1328125,389.6564048
0.133789063,384.4055899
0.134765625,380.7300196
0.135742188,380.7300196
0.13671875,384.9306714
0.137695313,391.7567307
0.138671875,400.1580345
0.139648438,409.0844197
0.140625,415.910479
0.141601563,420.1111308
0.142578125,422.7365382
0.143554688,425.8870272
0.14453125,424.3117827
0.145507813,419.0609679
0.146484375,413.2850715
0.147460938,408.0342567
0.1484375,401.2081974
0.149414063,394.3821381
0.150390625,392.2818122
0.151367188,393.3319752
0.15234375,398.0577085
0.153320313,403.3085234
0.154296875,409.6095012
0.155273438,414.3352345
0.15625,418.5358864
0.157226563,422.2114568
0.158203125,423.2616197
0.159179688,423.2616197
0.16015625,422.2114568
0.161132813,418.5358864
0.162109375,412.2349086
0.163085938,405.4088493
0.1640625,399.632953
0.165039063,393.8570566
0.166015625,390.7065677
0.166992188,389.6564048
0.16796875,391.7567307
0.168945313,394.3821381
0.169921875,398.58279
0.170898438,404.8837678
0.171875,411.7098271
0.172851563,416.9606419
0.173828125,422.2114568
0.174804688,425.3619457
0.17578125,423.2616197
0.176757813,419.5860493
0.177734375,415.3853975
0.178710938,408.5593382
0.1796875,400.6831159
0.180664063,398.0577085
0.181640625,397.0075455
0.182617188,395.9573826
0.18359375,396.4824641
0.184570313,400.1580345
0.185546875,402.7834419
0.186523438,403.3085234
0.1875,406.9840937
0.188476563,411.7098271
0.189453125,412.2349086
0.190429688,410.6596641
0.19140625,410.1345826
0.192382813,407.5091752
0.193359375,402.2583604
0.194335938,399.1078715
0.1953125,399.1078715
0.196289063,399.632953
0.197265625,399.1078715
0.198242188,401.7332789
0.19921875,404.8837678
0.200195313,406.4590123
0.201171875,407.5091752
0.202148438,410.6596641
0.203125,412.7599901
0.204101563,411.1847456
0.205078125,407.5091752
0.206054688,404.8837678
0.20703125,399.632953
0.208007813,394.3821381
0.208984375,393.3319752
0.209960938,395.9573826
0.2109375,398.0577085
0.211914063,399.1078715
0.212890625,402.2583604
0.213867188,404.3586863
0.21484375,405.4088493
0.215820313,406.9840937
0.216796875,409.0844197
0.217773438,409.0844197
0.21875,406.9840937
0.219726563,405.4088493
0.220703125,403.8336048
0.221679688,400.6831159
0.22265625,398.0577085
0.223632813,397.0075455
0.224609375,396.4824641
0.225585938,394.3821381
0.2265625,393.3319752
0.227539063,393.3319752
0.228515625,395.4323011
0.229492188,397.0075455
0.23046875,401.7332789
0.231445313,408.0342567
0.232421875,413.810153
0.233398438,416.4355604
0.234375,416.9606419
0.235351563,414.3352345
0.236328125,410.1345826
0.237304688,406.4590123
